"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","104","test","test_create_order","TestCreateOrder","","","test_create_order[color1]",""
"passed","Wed Jul 31 01:28:54 MSK 2024","Wed Jul 31 01:28:54 MSK 2024","212","test","test_login_courier","CourierLoginTest","","","test_login_with_empty_login","Register a new courier and send a login request with an empty login."
"passed","Wed Jul 31 01:28:52 MSK 2024","Wed Jul 31 01:28:52 MSK 2024","405","test","test_create_courier","CourierTest","","","test_all_fields_required","Generate courier data and verify that all fields are required for courier creation."
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","92","test","test_create_order","TestCreateOrder","","","test_create_order[color0]",""
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","128","test","test_create_courier","CourierTest","","","test_correct_response_for_missing_fields","Send a create courier request with an empty login and verify the response."
"passed","Wed Jul 31 01:28:52 MSK 2024","Wed Jul 31 01:28:52 MSK 2024","279","test","test_create_courier","CourierTest","","","test_cannot_create_duplicate_courier","Register a new courier and attempt to create a duplicate courier."
"passed","Wed Jul 31 01:28:54 MSK 2024","Wed Jul 31 01:28:55 MSK 2024","250","test","test_login_courier","CourierLoginTest","","","test_login_with_only_password","Register a new courier and send a login request with only the password."
"passed","Wed Jul 31 01:28:54 MSK 2024","Wed Jul 31 01:28:54 MSK 2024","101","test","test_login_courier","CourierLoginTest","","","test_login_requires_all_fields","Send a login request with empty login and password and verify the response."
"passed","Wed Jul 31 01:28:52 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","257","test","test_create_courier","CourierTest","","","test_conflict_message_for_duplicate_login","Register a new courier and verify the conflict message when creating a duplicate courier."
"passed","Wed Jul 31 01:28:54 MSK 2024","Wed Jul 31 01:28:54 MSK 2024","232","test","test_login_courier","CourierLoginTest","","","test_login_with_empty_password","Register a new courier and send a login request with an empty password."
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","91","test","test_create_order","TestCreateOrder","","","test_create_order[color3]",""
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","152","test","test_create_courier","CourierTest","","","test_create_courier_successfully","Generate courier data and send a request to create a new courier."
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:54 MSK 2024","230","test","test_login_courier","CourierLoginTest","","","test_courier_can_login_successfully","Register a new courier and verify the login is successful."
"passed","Wed Jul 31 01:28:53 MSK 2024","Wed Jul 31 01:28:53 MSK 2024","103","test","test_create_order","TestCreateOrder","","","test_create_order[color2]",""
"passed","Wed Jul 31 01:28:54 MSK 2024","Wed Jul 31 01:28:54 MSK 2024","115","test","test_login_courier","CourierLoginTest","","","test_login_with_non_existent_user","Send a login request with non-existent user credentials and verify the response."
"passed","Wed Jul 31 01:28:55 MSK 2024","Wed Jul 31 01:29:20 MSK 2024","25210","test","test_order_list","TestOrderList","","","test_get_orders_list",""
